,0,1
632,27.0,19.27
633,23.0,14.29
634,31.0,20.25
635,33.0,18.45
636,40.0,21.56
637,31.0,14.06
638,36.0,22.9
639,41.0,20.0
640,28.0,21.18
641,36.0,24.71
642,38.0,25.0
643,37.0,17.91
644,43.0,27.25
645,39.0,24.86
646,36.0,26.14
647,26.0,12.39
648,55.0,20.18
649,48.0,29.57
650,33.0,26.0
651,31.0,24.5
652,35.0,19.8
653,25.0,13.0
654,41.0,29.71
655,40.0,21.25
656,34.0,20.11
657,37.0,17.08
658,58.0,21.12
659,40.0,18.11
660,54.0,32.14
661,33.0,20.7
662,25.0,9.8
663,42.0,17.55
664,27.0,16.17
665,75.0,22.88
666,40.0,23.78
667,42.0,21.22
668,30.0,16.46
669,30.0,19.75
670,41.0,24.67
671,39.0,18.17
672,28.0,20.5
673,14.0,7.5
674,43.0,27.88
675,40.0,26.88
676,31.0,13.5
677,32.0,15.71
678,43.0,26.88
679,52.0,28.86
680,21.0,10.0
681,49.0,25.88
682,39.0,29.0
683,57.0,20.3
684,44.0,24.88
685,43.0,20.18
686,43.0,25.67
687,35.0,23.56
688,38.0,21.56
689,43.0,19.08
690,35.0,19.09
691,24.0,17.5
692,41.0,26.83
693,43.0,22.67
694,33.0,26.62
695,24.0,18.75
696,27.0,18.58
697,30.0,20.55
698,31.0,13.88
699,31.0,16.91
700,47.0,27.88
701,30.0,18.82
702,42.0,21.38
703,39.0,25.12
704,41.0,28.43
705,51.0,25.25
706,46.0,28.29
707,22.0,11.35
708,35.0,18.91
709,47.0,22.4
710,28.0,16.75
711,27.0,11.56
712,15.0,8.7
713,19.0,14.15
714,22.0,11.67
715,15.0,6.1
716,36.0,21.78
717,33.0,22.89
718,19.0,12.64
719,22.0,11.35
720,33.0,15.86
721,23.0,16.8
722,22.0,15.43
723,28.0,17.2
724,34.0,21.4
725,30.0,17.23
726,27.0,17.2
727,50.0,25.67
728,46.0,22.89
729,16.0,9.18
730,30.0,16.58
731,26.0,13.0
732,23.0,16.58
733,41.0,26.75
734,34.0,20.33
735,40.0,24.89
736,38.0,21.25
737,32.0,22.38
738,40.0,27.5
739,47.0,20.0
740,27.0,17.64
741,32.0,22.56
742,40.0,25.25
743,17.0,12.5
744,27.0,17.27
745,25.0,16.09
746,26.0,14.38
747,35.0,22.33
748,28.0,15.17
749,42.0,20.62
750,45.0,17.67
751,26.0,16.17
752,29.0,18.25
753,40.0,20.55
754,37.0,20.55
755,18.0,11.0
756,20.0,12.36
757,25.0,18.73
758,39.0,25.0
759,42.0,34.33
760,40.0,19.75
761,30.0,11.76
762,37.0,28.14
763,41.0,24.0
764,28.0,14.91
765,25.0,17.6
766,36.0,17.0
767,35.0,24.78
768,33.0,15.57
769,54.0,24.75
770,33.0,20.33
771,27.0,17.64
772,36.0,15.38
773,48.0,23.89
774,34.0,22.11
775,28.0,18.58
776,39.0,27.38
777,18.0,11.72
778,30.0,20.0
779,27.0,17.7
780,40.0,23.44
781,16.0,9.47
782,37.0,13.17
783,19.0,9.84
784,20.0,15.08
785,40.0,23.12
786,37.0,17.27
787,37.0,27.83
788,26.0,14.73
789,53.0,26.57
790,39.0,26.17
791,41.0,17.27
792,19.0,11.72
793,45.0,26.43
794,28.0,18.91
795,35.0,23.62
796,46.0,24.57
797,39.0,21.8
798,25.0,16.82
799,29.0,16.5
800,35.0,15.64
801,19.0,12.21
802,18.0,10.87
803,17.0,11.56
804,28.0,17.3
805,36.0,20.89
806,16.0,9.32
807,24.0,12.81
808,19.0,11.35
809,28.0,16.36
810,18.0,8.59
811,38.0,22.62
812,34.0,22.56
813,22.0,10.28
814,29.0,18.22
815,32.0,20.9
816,29.0,17.82
817,34.0,23.5
818,45.0,28.62
819,47.0,27.57
820,20.0,14.5
821,23.0,15.25
822,22.0,12.2
823,24.0,16.1
824,37.0,21.38
825,27.0,11.74
826,21.0,12.21
827,43.0,15.93
828,31.0,18.27
829,61.0,28.5
830,42.0,24.71
831,35.0,23.56
832,25.0,11.85
833,21.0,10.29
834,24.0,13.06
835,23.0,11.55
836,26.0,14.4
837,21.0,11.72
838,36.0,23.25
839,24.0,13.88
840,43.0,20.62
841,26.0,11.33
842,32.0,24.29
843,17.0,9.3
844,45.0,27.5
845,32.0,17.33
846,18.0,10.05
847,63.0,28.0
848,41.0,21.27
849,35.0,21.2
850,27.0,16.09
851,30.0,20.0
852,32.0,18.67
853,60.0,25.38
854,18.0,11.24
855,39.0,19.5
856,33.0,19.92
857,44.0,24.5
858,13.0,6.79
859,14.0,7.59
860,14.0,7.9
861,14.0,7.56
862,34.0,25.0
863,23.0,11.57
864,29.0,18.17
865,31.0,18.6
866,37.0,22.8
867,38.0,18.0
868,24.0,16.64
869,26.0,14.67
870,40.0,23.11
871,34.0,24.71
872,18.0,10.65
873,31.0,21.33
874,38.0,25.62
